id,work_area_id,description,original_amount,current_amount,approval_status,approval_date,project_phase,product,cost_basis,cost_driver,expected_cash_out,requester,zielanpassung,zielanpassung_reason,basis_description,assumptions,comments,created_at,updated_at
ci-001,wa-001,Automated Torque Station T-400 (4-Spindle),245000,258000,approved,2026-01-12,phase_1,atlas,initial_supplier_offer,product,2026-04,Georg Weis,false,,Offer Desoutter Tools GmbH,"4 spindles, torque range 1-50 Nm, integrated poka-yoke",,2025-11-01,2026-01-12
ci-002,wa-001,Chassis Marriage Lift System CML-800,320000,320000,approved,2026-01-20,phase_1,atlas,initial_supplier_offer,process,2026-05,Anna Schmidt,false,,Offer Dürr Assembly Products,"Lift capacity 1200 kg, servo-driven, 3 positions",Lead time 16 weeks confirmed,2025-11-05,2026-01-20
ci-003,wa-001,Adhesive Dispensing Robot Cell (Henkel Loctite),185000,197500,submitted_for_approval,,phase_1,atlas,revised_supplier_offer,product,2026-06,Thomas Mueller,true,Supplier increased price due to material cost,Revised offer Henkel AG — 2nd negotiation round,"2-component PU adhesive, 0.1mm precision",Escalated to dept head,2025-11-10,2026-02-05
ci-004,wa-001,Subframe Fixture Set SF-12 (Atlas + Orion),78000,78000,approved,2026-01-08,phase_1,atlas,cost_estimation,product,2026-03,Georg Weis,false,,Internal estimation based on similar fixture at Werk Nord,12 fixtures for 2 product variants,,2025-10-20,2026-01-08
ci-005,wa-001,Manual Workbench Station MWS-3 (x4),32000,34200,approved,2026-01-05,phase_1,overall,initial_supplier_offer,initial_setup,2026-04,Lisa Berger,false,,Offer Bott GmbH,"4 stations, ESD, height-adjustable, tool holders",,2025-10-15,2026-01-05
ci-006,wa-001,Collaborative Robot Arm UR-20 (Pick & Place),95000,95000,submitted_for_approval,,phase_2,orion,initial_supplier_offer,process,2026-07,Markus Weber,false,,Offer Universal Robots / Systemintegrator Schmalz,"Payload 20 kg, reach 1750mm, gripper included",,2025-12-01,2026-02-10
ci-007,wa-002,E-Motor Assembly Press HPP-250 (250kN),210000,210000,approved,2026-02-01,phase_1,atlas,initial_supplier_offer,product,2026-05,Sophie Klein,false,,Offer Kistler Instruments,"Servo press 250 kN, force-displacement monitoring",,2025-11-15,2026-02-01
ci-008,wa-002,Gear Unit Test Bench GT-500,165000,172000,approved,2026-01-28,phase_1,atlas,revised_supplier_offer,product,2026-06,Jan Hoffmann,true,Scope extended to cover Orion variant,Revised offer Teamtechnik GmbH,"Max speed 12,000 rpm, torque sensor 500 Nm",,2025-11-20,2026-01-28
ci-009,wa-002,Rotor Balancing Machine RBM-3000,135000,135000,open,,phase_2,orion,cost_estimation,product,2026-07,Eva Fischer,false,,Budget estimation based on Schenck RoTec catalog,"Rotor weight up to 30 kg, 2-plane balancing",RFQ to be sent Q1 2026,2025-12-05,2025-12-05
ci-010,wa-002,Stator Winding Insertion Tool SWI-6,88000,92400,submitted_for_approval,,phase_2,orion,initial_supplier_offer,product,2026-08,Georg Weis,true,Additional tooling for Vega variant needed,Offer Marsilli SpA,"6-pole stator, hairpin winding compatible",,2025-12-10,2026-02-15
